UID,Target
133291,medium
96903,low
27981,medium
95985,low
79713,medium
91192,medium
5334,high
43779,medium
34331,medium
114845,high
24267,medium
104760,low
88761,medium
100578,medium
40208,medium
70957,medium
87715,high
116237,low
17330,medium
42743,high
125480,high
113900,low
120922,medium
30020,medium
31996,low
91558,medium
37660,medium
123914,low
33624,low
151682,low
36759,low
1251,medium
105503,high
7722,high
145850,medium
136215,medium
114736,medium
144142,low
157242,medium
31458,medium
110142,medium
22413,medium
90896,low
91688,low
143985,low
128474,medium
62432,medium
151883,medium
160433,high
110290,medium
13836,medium
94042,high
27178,high
9459,medium
9789,low
72133,medium
12702,medium
7032,low
73470,medium
103132,medium
45935,high
148454,medium
157888,medium
77690,medium
100253,high
152281,medium
142903,high
118498,high
47622,medium
76034,low
157713,high
135252,high
7767,low
151297,medium
155466,medium
26760,low
57075,medium
42617,medium
147532,medium
47903,medium
97431,medium
82688,high
71362,medium
110080,high
17820,medium
78419,high
21644,medium
11871,medium
88179,medium
147999,medium
121314,medium
38176,medium
16685,medium
58549,high
92865,high
99265,medium
114644,medium
92940,high
158770,medium
141478,medium
3759,medium
126971,high
101968,high
22657,medium
74959,medium
47157,medium
4955,high
50379,high
107490,medium
148178,medium
33369,low
42179,medium
74043,medium
88558,medium
106580,medium
20181,medium
46099,medium
93348,medium
14139,low
87315,medium
29724,medium
93733,medium
82347,medium
121349,high
65229,low
84341,medium
39985,medium
109829,high
11580,high
76895,high
126702,medium
104000,medium
154621,medium
73593,medium
73506,low
126005,medium
105077,medium
95107,low
159193,medium
36163,medium
69427,low
159104,medium
66503,medium
59278,low
108218,high
159279,medium
39454,medium
108402,medium
33108,high
105660,low
84934,medium
97384,medium
11284,low
134713,medium
131937,medium
141266,medium
157835,medium
83186,medium
154578,medium
12506,high
125969,low
134725,medium
94917,low
133592,medium
81020,medium
37834,medium
124102,medium
29487,medium
121132,medium
120057,high
129645,medium
52217,low
24662,high
28439,high
38399,high
35439,high
137851,high
130741,medium
132423,medium
128348,low
140103,high
146578,high
22652,low
108546,medium
66296,medium
27287,low
79663,high
86372,medium
56972,medium
110444,high
81217,medium
131567,medium
140780,medium
133315,low
118940,high
138995,medium
31762,medium
129272,medium
120583,medium
54602,medium
72005,high
158043,medium
120911,medium
6015,medium
156616,medium
83239,low
17210,medium
104997,medium
119750,high
46453,medium
122242,medium
117437,medium
111530,medium
95326,medium
82734,medium
138437,high
109441,medium
91404,low
84544,medium
60165,medium
31959,low
114414,low
39044,high
69319,medium
92883,medium
132690,low
61787,medium
53297,medium
154598,medium
122732,medium
86593,medium
159670,high
37612,medium
150142,medium
43447,high
5278,high
13661,low
48325,medium
4124,medium
59319,low
74728,medium
99807,low
124736,low
130639,low
74777,low
91976,high
30980,medium
53826,medium
32606,high
87654,low
74885,medium
74371,medium
38726,medium
10627,medium
56939,medium
50810,medium
75122,medium
149792,high
115438,medium
146238,high
42636,medium
158995,high
59747,medium
134595,medium
114554,medium
125351,medium
3349,low
143115,medium
73587,medium
114809,medium
147675,medium
54656,medium
56374,low
159970,medium
132654,medium
139307,high
107549,medium
153102,medium
94790,medium
128361,low
136379,high
96669,medium
22776,medium
18248,medium
13250,medium
103503,high
22227,low
135988,low
151575,low
62229,low
126038,high
45799,low
17157,medium
159272,medium
42543,medium
107465,low
111561,medium
137391,low
97574,medium
147652,high
157685,medium
75658,high
103493,low
13825,medium
61912,medium
11732,medium
83331,low
99327,medium
142542,low
5036,medium
154343,high
96869,medium
137885,medium
51737,high
63774,medium
42699,high
10402,high
13167,medium
53025,medium
70239,low
121346,medium
81884,high
66526,medium
73905,medium
70409,low
97510,high
748,high
51609,low
63743,low
55683,medium
125959,medium
74784,medium
118501,medium
138968,low
151544,medium
82960,medium
61526,medium
78690,high
52696,high
22399,high
94313,low
76452,high
44514,medium
377,high
125454,low
86011,low
96574,medium
77912,medium
90983,medium
42824,high
123298,medium
51250,medium
43486,medium
124529,high
152347,medium
142136,medium
17949,low
39417,high
21572,medium
131425,low
55005,medium
61146,medium
132721,high
158958,medium
99242,medium
29296,high
132134,medium
83937,high
130417,medium
71312,low
68839,medium
155790,medium
43705,medium
72572,medium
24638,low
151291,high
80258,medium
12080,medium
84878,medium
5389,medium
101998,medium
129166,low
151838,high
24890,medium
128053,medium
35650,low
57115,medium
59836,medium
42296,medium
104570,medium
121817,high
116484,low
14939,medium
11728,low
98287,medium
102270,high
146349,medium
69842,medium
85406,medium
147974,medium
19669,high
63497,medium
63418,medium
13325,medium
54711,high
48842,medium
41354,low
43420,low
63851,high
150706,low
103929,low
61090,low
99161,medium
78076,high
92185,medium
49604,low
152888,high
87894,high
2905,medium
40936,low
75936,low
6928,high
157849,medium
94784,medium
62788,medium
50606,medium
68202,high
44355,high
98832,high
156199,low
7042,medium
1884,low
15074,medium
138171,medium
118023,medium
61960,low
87269,high
101560,high
99697,medium
41965,medium
81262,medium
149453,high
81443,medium
33737,medium
100538,low
8659,medium
82825,medium
124231,high
58559,high
38383,medium
9366,high
39990,low
152083,medium
5813,medium
103025,medium
99035,medium
33185,medium
93051,low
158769,high
105000,high
154382,medium
22317,medium
137046,medium
82280,medium
109141,medium
24974,low
159644,medium
8488,medium
57730,medium
109810,medium
102277,medium
13021,medium
99648,medium
126632,medium
119709,low
150257,medium
37234,medium
11887,low
28764,medium
34666,medium
83678,medium
140524,medium
17176,medium
52350,medium
45496,medium
6275,low
89523,medium
39786,medium
36658,high
150143,medium
148241,medium
117171,high
141543,medium
88503,medium
158324,medium
39141,medium
113393,low
90110,high
103251,medium
101563,medium
115041,medium
21987,low
56200,medium
72388,high
5677,high
51779,medium
25639,medium
135129,high
52581,low
152571,high
115327,medium
24143,high
116528,medium
40820,low
12285,medium
145773,low
90797,high
10467,low
113220,high
118331,medium
67149,low
132215,medium
75099,high
17613,medium
35911,medium
82108,low
101192,medium
121413,low
26333,medium
33995,high
160293,medium
39472,medium
46269,high
134374,medium
144679,medium
99499,low
93803,medium
72104,medium
102021,low
45699,medium
40196,medium
124691,medium
3538,low
30925,medium
12268,medium
99765,medium
102472,high
77352,high
123888,low
37289,medium
2311,medium
137001,medium
73020,medium
6443,low
52356,low
111937,medium
43934,high
51855,medium
11169,medium
117343,medium
49643,low
54761,low
2750,medium
97349,medium
156748,medium
1813,medium
62305,medium
72025,medium
35663,medium
130068,medium
8910,medium
92028,high
158779,medium
158909,medium
79218,medium
8383,medium
147543,low
33144,medium
4021,low
145988,low
141526,medium
152184,high
4947,high
139350,low
1540,medium
62760,medium
34946,medium
105878,medium
84309,high
70738,high
2996,medium
99731,medium
125951,high
119990,medium
85754,medium
75271,medium
78328,medium
118806,low
35257,low
77796,medium
87452,high
41402,low
28752,medium
85008,low
97169,medium
60207,low
26029,medium
41733,medium
1135,medium
109876,medium
41913,high
156881,medium
57762,medium
65839,low
128778,medium
71821,medium
84373,medium
150433,low
118516,medium
108481,low
34390,medium
97144,medium
144021,medium
130119,low
93627,high
126473,low
60578,high
127912,low
153537,medium
57257,medium
96498,high
8607,low
114303,medium
78605,high
74912,medium
84820,low
75387,high
31928,high
112505,medium
27280,high
67098,medium
66892,high
62379,medium
64370,low
135513,medium
88740,medium
19098,low
97462,medium
152284,medium
93096,medium
142562,medium
126533,medium
26057,low
157806,medium
75610,medium
135921,medium
151623,high
20363,low
62064,medium
61549,medium
41170,medium
105344,medium
8288,low
92612,high
72381,medium
123909,medium
1599,medium
139664,medium
131432,medium
21046,medium
67477,high
27423,low
62256,high
92953,medium
120723,medium
131650,medium
153806,medium
89772,medium
40055,medium
35078,medium
11823,medium
150213,medium
145683,high
117501,medium
87999,medium
11552,medium
128863,medium
66772,high
62270,high
79322,medium
109206,medium
79275,medium
44208,medium
43988,medium
125584,medium
156792,medium
3291,medium
156,high
20844,high
116649,medium
3869,high
97679,medium
71761,low
75549,medium
22587,medium
67442,medium
127928,medium
65257,medium
23458,low
76554,medium
142022,high
55437,medium
780,high
19250,low
137085,low
157238,high
133332,medium
22542,medium
6680,low
101767,medium
51899,low
62836,low
47283,high
79005,medium
125700,low
33172,low
27614,high
50846,medium
58736,high
33617,medium
64187,high
89173,medium
108228,low
59734,low
58763,medium
144930,medium
128160,high
126113,medium
133265,high
133181,low
56132,low
78377,medium
65041,medium
30325,low
46374,medium
122685,medium
123405,low
159000,medium
96992,high
128154,high
91292,low
18661,low
18736,medium
69016,medium
60490,medium
14253,high
71813,medium
21976,medium
61982,low
25013,low
152417,medium
22486,medium
131370,medium
95822,low
138068,medium
34030,low
77573,high
102695,high
160327,low
85034,medium
124970,low
127517,low
115063,medium
113398,low
145213,medium
79635,medium
144403,medium
25331,medium
117037,high
45426,low
31218,high
23709,high
121599,medium
25082,medium
87518,high
72410,medium
149817,low
46442,low
147205,medium
65057,medium
94120,low
66632,high
159449,low
23030,high
56755,medium
30337,medium
15924,medium
115655,high
150081,low
137040,low
125340,medium
4603,medium
62999,medium
73069,low
7242,medium
91148,medium
57729,low
8958,high
26206,medium
45436,medium
76661,medium
54087,medium
108041,low
94655,high
26679,medium
21302,medium
25855,medium
91677,high
67553,medium
151853,medium
92434,medium
103412,high
28817,low
132501,medium
48502,low
104581,low
26138,medium
4853,medium
70659,medium
36441,low
101122,high
91432,medium
52257,medium
59770,medium
136432,medium
107235,high
158140,high
60247,medium
22321,low
137813,medium
148588,high
129407,medium
39760,low
114181,high
91826,low
70611,medium
55477,medium
50452,low
60157,medium
36057,medium
123297,high
82533,medium
154354,medium
110036,medium
158197,low
81102,low
55143,high
144361,medium
71750,high
108535,medium
41793,low
159072,high
19429,medium
155639,medium
26228,medium
16662,medium
108802,medium
35148,medium
64287,low
120948,medium
112935,medium
20411,medium
153596,medium
103095,medium
57773,high
46769,medium
96981,medium
83807,high
159709,medium
18920,medium
61936,medium
107748,medium
10192,medium
26849,low
121894,medium
25909,medium
144923,low
34898,low
152118,medium
68107,low
55280,medium
59277,low
72230,medium
123500,medium
102209,medium
119075,high
115628,high
30281,medium
82077,medium
36357,low
101327,medium
111111,high
155857,medium
39706,medium
23786,low
88008,high
112949,medium
140605,high
94401,low
155615,medium
61008,high
35628,medium
113475,low
38294,low
50212,low
24669,high
150111,low
63131,medium
124067,medium
72387,high
76654,medium
24196,medium
69722,medium
23867,medium
47869,high
122765,medium
106385,low
72544,medium
12824,medium
158152,medium
14846,medium
2689,medium
7166,medium
120780,medium
149465,low
126839,low
4148,high
47769,medium
6132,medium
23268,high
72284,medium
152842,medium
62960,medium
49033,medium
44932,high
124802,high
3060,medium
134466,high
143326,medium
159110,high
83093,medium
41579,medium
11535,medium
13001,high
141352,high
16255,medium
53989,high
55877,low
160265,medium
76139,high
59707,high
43973,medium
70954,medium
144544,medium
25043,high
79803,low
38458,medium
95044,medium
85905,high
125204,medium
150904,medium
116772,medium
133552,high
44940,medium
128775,medium
85113,medium
160358,medium
104128,medium
148925,medium
99578,medium
32879,high
131301,medium
60641,medium
62840,medium
128580,medium
3354,low
97307,medium
64284,medium
52812,medium
12107,low
51123,medium
128844,medium
61037,medium
155687,medium
55681,high
11102,medium
159734,low
115360,medium
55847,medium
81001,medium
141060,medium
89502,low
39183,medium
2268,low
77227,low
42638,low
120358,low
138884,low
98764,medium
30482,high
102322,medium
560,medium
26999,medium
52703,medium
48417,low
53580,low
91772,high
10635,low
104267,medium
123681,medium
160059,medium
105474,medium
156970,medium
106053,medium
2678,high
90669,medium
94563,medium
135883,medium
29970,high
65456,high
20368,medium
64662,medium
105206,medium
50635,low
131320,high
54673,medium
131021,medium
101715,high
34991,low
6046,high
154197,medium
79695,medium
114578,low
154541,medium
31767,low
113420,medium
24397,high
72657,medium
67787,medium
85196,high
8666,medium
57426,medium
79331,medium
153267,low
151714,medium
47132,medium
153649,high
149905,medium
155994,medium
155532,high
28643,low
56433,medium
48714,medium
38464,high
68894,medium
126678,medium
101933,medium
114563,medium
13287,low
11241,medium
81366,medium
10504,high
24477,high
111818,low
88614,medium
70215,low
29165,medium
9845,high
110048,medium
66204,medium
32891,high
51564,medium
63444,medium
114667,low
105838,high
11694,medium
114443,medium
133376,medium
101077,medium
44459,medium
12960,medium
106081,medium
108728,medium
144235,medium
25714,medium
110262,medium
46305,medium
78781,medium
49764,high
133481,medium
125369,medium
47773,medium
58682,medium
3133,high
160406,medium
81448,medium
33510,medium
65164,medium
26524,low
15371,medium
83188,low
89947,low
144928,high
92471,medium
13005,low
101291,medium
130386,low
77644,low
98728,medium
137305,medium
96048,medium
154550,low
154467,high
49590,medium
155749,low
60360,medium
80490,medium
30220,medium
148792,high
148182,high
25753,medium
109911,medium
58570,high
69379,medium
66744,low
134021,high
15731,high
61048,medium
48055,medium
94962,medium
83532,low
39080,low
66649,medium
1731,medium
82436,medium
26061,medium
137497,medium
7505,high
37290,medium
95148,high
66376,medium
120821,medium
150835,low
51574,medium
98331,medium
27061,medium
9384,low
97506,medium
15550,medium
23282,low
122950,medium
12511,high
4764,medium
17684,low
131788,high
84825,medium
149564,low
22567,low
119570,low
158069,low
29323,low
65004,medium
76418,medium
107202,medium
107810,medium
157111,high
3262,medium
71144,medium
37424,medium
109350,medium
5697,low
58054,low
15387,medium
78841,medium
54327,high
15278,medium
101127,high
143226,medium
58386,medium
47241,low
148934,medium
128233,medium
141131,medium
140932,high
159932,medium
37385,medium
41392,medium
85038,medium
52046,high
63117,medium
87627,medium
107307,low
37761,medium
11408,medium
104595,medium
58394,medium
74443,high
44163,medium
157299,high
60127,high
76965,medium
93809,high
59062,medium
111092,medium
83998,medium
158190,medium
23131,medium
152479,high
75196,low
44615,low
16630,medium
37197,high
32607,low
101868,low
82815,high
89236,medium
8460,low
24333,low
1934,medium
121645,medium
157024,low
107275,medium
35132,medium
99404,high
143632,medium
84516,medium
118111,low
8394,low
9954,high
101325,medium
72653,medium
120666,high
82157,low
70412,high
145190,high
130854,medium
156412,medium
68712,medium
85793,medium
86936,medium
2766,medium
147494,medium
43055,medium
37523,medium
92918,medium
62807,medium
107927,high
98612,medium
129535,medium
5383,low
69529,medium
93061,high
36452,medium
101353,medium
11042,high
147729,medium
37448,medium
130467,low
19274,medium
3782,medium
57431,medium
55511,low
76008,medium
127142,medium
31606,low
62079,medium
136980,low
73462,medium
70071,medium
63600,medium
4341,medium
132855,high
139250,high
121043,high
149309,medium
124291,low
107533,high
121521,low
135652,medium
118733,high
138292,high
2579,medium
112600,medium
7629,medium
122463,low
117547,low
59528,medium
16718,medium
130147,medium
76084,medium
1097,medium
155468,medium
152505,medium
152113,medium
157167,high
108607,medium
86120,high
147509,high
57775,medium
28842,high
99700,medium
7523,high
107715,low
29531,medium
16626,medium
3834,medium
66088,medium
67986,high
52050,medium
28460,medium
51857,medium
8273,medium
144121,medium
18032,medium
71889,medium
63089,low
125517,low
3339,low
69679,medium
75137,medium
138554,medium
74808,medium
17811,medium
153012,medium
53280,medium
101129,medium
17988,medium
123284,medium
140423,medium
115618,low
5906,medium
18618,medium
136497,medium
86004,low
139611,high
96283,high
33167,medium
154494,medium
134046,medium
108247,low
128810,medium
134821,medium
58530,medium
61862,medium
39750,medium
19696,high
149168,medium
68109,high
63918,medium
61601,low
69122,medium
70985,medium
59795,low
131807,medium
59615,medium
46147,medium
64555,medium
159027,medium
134207,high
41665,medium
134614,medium
159871,medium
31678,high
27104,medium
4291,low
105164,medium
160689,high
63498,medium
27743,medium
30927,low
151141,medium
98513,medium
118873,medium
50967,medium
128315,medium
22078,high
15751,high
96427,medium
13291,medium
24607,medium
79380,medium
68095,medium
53399,medium
6329,high
150760,low
106517,low
21396,high
147763,medium
144522,medium
65385,medium
64601,low
134997,low
95336,low
142503,medium
112520,medium
6738,medium
83858,low
6412,medium
57371,low
115856,medium
6041,medium
87945,medium
117442,medium
100567,medium
106905,high
110458,high
105785,medium
57035,medium
98477,medium
43085,low
147513,low
16690,low
10893,medium
60609,high
54381,medium
144120,medium
137718,low
23179,low
152199,medium
55107,low
1295,low
56821,medium
97031,high
8703,low
73413,high
9387,medium
91059,high
149049,medium
98242,medium
88803,low
150275,medium
52070,medium
23082,medium
9692,medium
106944,high
136448,medium
18327,medium
87417,high
76707,medium
14211,low
89092,medium
69395,high
140737,medium
87140,medium
55463,high
114362,medium
134159,medium
56453,medium
107832,medium
4204,medium
140194,medium
120320,low
41020,low
132744,low
61634,medium
12980,medium
100052,high
138608,medium
23264,medium
98250,medium
65892,medium
107952,medium
136240,medium
140009,medium
108804,low
140631,medium
83080,high
66907,low
140761,low
22044,medium
160654,medium
108532,medium
43354,medium
75382,medium
30124,high
55278,low
4492,medium
133573,medium
143545,medium
18997,low
91040,medium
123965,low
65769,medium
129222,medium
103309,medium
48902,medium
10381,high
15724,medium
82355,low
9706,medium
86175,medium
12366,medium
107938,medium
70227,medium
101490,medium
111740,low
19689,medium
127536,medium
75248,medium
45055,high
105148,medium
5807,high
142940,medium
31416,high
158752,medium
74192,low
109435,medium
155459,medium
14270,medium
60858,high
100179,high
34143,medium
61828,medium
142591,medium
147892,medium
30654,medium
160008,medium
1462,medium
155980,high
159980,medium
30626,low
68465,high
141291,high
132811,high
43809,low
122291,low
24305,low
142084,medium
89813,medium
9272,medium
7582,high
58940,high
82822,high
104138,medium
82684,medium
1912,medium
127986,low
130158,medium
17644,medium
151595,low
21261,low
57940,medium
26631,medium
151936,medium
1130,low
17473,medium
109036,medium
42274,medium
148725,high
116889,low
50758,medium
22702,low
153243,high
129968,low
140101,medium
67121,high
150685,high
51444,medium
63834,medium
12906,medium
135775,medium
29103,medium
134519,high
85294,high
64976,low
131969,low
75156,low
14504,high
60220,low
39310,medium
118107,medium
76834,medium
74398,medium
110831,medium
43902,low
61035,medium
76560,high
154222,medium
38973,medium
154427,medium
11063,high
31145,medium
156271,high
129728,low
35865,low
127647,high
141253,high
126465,medium
121210,low
75134,high
69865,medium
34519,medium
116794,medium
43436,medium
86006,high
137853,low
83299,high
49342,high
47905,medium
127032,medium
155797,low
128638,medium
87123,medium
126720,high
16445,medium
146016,high
111310,medium
31856,high
90838,medium
118171,medium
136303,low
13788,medium
21850,medium
105781,low
109025,medium
67304,low
37387,medium
136913,low
83551,low
123265,low
125916,medium
25583,low
128423,medium
7429,medium
14925,medium
111175,high
52747,high
82179,high
143770,medium
141340,low
154498,high
103921,medium
98709,medium
94576,low
7257,high
119793,high
133292,medium
51217,medium
98543,medium
138242,medium
145976,medium
147318,medium
151003,medium
57410,medium
86499,medium
80131,high
15045,high
52963,medium
133639,medium
137043,high
68153,high
84705,high
137866,high
79864,medium
141293,medium
115709,medium
103491,medium
23644,medium
122232,medium
145499,high
104304,low
87664,low
40067,medium
132332,high
5937,high
32519,high
98614,medium
5346,medium
122543,medium
41580,medium
85142,low
129879,low
8729,medium
94376,medium
35788,medium
130760,high
128957,medium
71819,medium
119733,medium
132395,medium
103601,high
106179,medium
32865,low
10669,high
151397,medium
49251,low
134376,high
79401,high
83675,high
85543,medium
128962,low
9411,medium
40374,medium
4632,medium
66694,low
55320,medium
115325,medium
41525,high
98939,low
82290,medium
110288,medium
159043,low
104924,low
140079,medium
40862,low
159434,medium
156160,medium
159618,medium
118244,medium
86764,medium
29297,medium
12228,medium
145399,medium
78974,medium
48129,medium
158708,high
105627,medium
40739,medium
33674,low
54153,high
33424,low
65363,low
31682,high
89133,medium
15186,medium
32591,medium
70690,medium
46720,low
151864,low
128852,high
115667,medium
68632,high
73458,medium
110931,high
48759,high
96071,high
37149,medium
32920,medium
9017,high
130254,medium
23775,low
102054,low
128438,high
34470,high
115356,medium
149523,low
44746,low
71313,low
159614,medium
14037,medium
11092,medium
69516,medium
69,high
89654,high
80367,medium
118576,medium
2864,medium
155833,medium
128522,medium
67418,medium
17759,medium
12826,medium
70819,medium
139617,low
92726,medium
121655,medium
54803,medium
45425,medium
116837,medium
6234,low
101602,medium
114292,medium
133758,medium
38258,medium
132928,medium
13538,medium
83902,medium
159327,high
48425,low
44768,medium
93025,high
75849,medium
122058,medium
92124,medium
55638,high
94761,high
3431,medium
97839,medium
84191,high
38731,high
28096,low
52126,medium
29322,low
149653,low
86639,high
125538,low
52790,medium
85452,medium
35204,low
66947,low
47478,medium
102396,high
80643,high
50853,medium
95988,medium
90241,medium
100449,medium
91969,medium
33205,high
70897,low
48646,high
104221,low
139445,low
71518,medium
69551,low
18564,high
102365,medium
129954,high
103288,medium
56626,low
30945,low
111918,low
159588,high
127781,medium
96659,medium
128017,low
17677,medium
27521,medium
154857,low
42692,medium
4469,high
155363,medium
149562,medium
48192,low
89323,medium
152053,medium
108960,low
121574,medium
139360,medium
117838,medium
83576,medium
96683,low
87551,medium
96982,medium
139384,medium
157070,high
6930,high
80943,high
22775,medium
67739,medium
113417,high
114864,medium
71903,medium
96774,medium
95524,low
133969,medium
102541,high
149412,medium
23984,medium
37831,high
156288,medium
48740,high
21269,high
119576,medium
64993,high
25580,high
159468,low
79207,medium
107192,medium
26054,medium
12054,medium
150812,medium
117822,medium
16981,low
61171,medium
160111,medium
66207,medium
14914,low
30468,medium
76963,medium
4664,low
6659,medium
57504,medium
15679,low
73868,medium
72091,medium
67016,low
85059,high
137887,low
19556,medium
125980,medium
88372,medium
12928,medium
23157,medium
9653,high
151456,medium
64426,medium
24766,medium
128554,medium
26131,high
122089,high
57422,medium
64253,low
118597,high
56604,medium
14748,low
87446,low
134749,medium
112939,medium
158713,high
47388,high
20855,medium
62044,medium
77464,medium
135294,medium
125189,high
99657,low
116998,medium
140062,medium
9030,low
23183,medium
72195,medium
100950,medium
39489,medium
67139,medium
106547,medium
67190,medium
151932,high
8250,high
122807,medium
139601,medium
147159,low
75789,medium
13282,medium
129117,medium
49357,medium
62027,medium
59654,medium
105398,medium
31410,medium
155919,low
24981,low
83414,medium
81723,medium
58049,medium
25790,medium
57510,medium
135076,medium
23483,medium
86553,medium
67596,medium
62319,medium
107457,high
99669,high
21761,medium
153184,medium
20162,low
84133,high
74500,medium
129353,high
132253,medium
61758,medium
47937,high
130234,medium
128244,high
81300,medium
52384,medium
142313,medium
75500,medium
98555,medium
137612,medium
39946,medium
114273,medium
153768,medium
149745,low
112771,medium
79402,medium
115485,medium
19155,medium
145967,medium
25900,low
72271,medium
114003,medium
97422,medium
160066,medium
47847,medium
129997,medium
11520,low
22633,medium
89575,medium
48798,low
40061,medium
123011,medium
120470,medium
115013,medium
99533,high
76242,medium
50750,high
93860,medium
116077,medium
16643,medium
50985,low
67160,low
19090,medium
21252,low
27986,medium
152341,medium
86609,low
141991,medium
68974,medium
41286,low
12620,low
19221,high
121771,medium
40222,high
40356,high
11315,medium
59679,medium
72908,medium
93929,high
142547,low
52396,medium
51085,medium
49400,medium
94963,medium
135573,low
117793,medium
151490,high
138610,medium
95927,high
4297,medium
145442,medium
113968,low
18631,medium
72825,medium
14577,medium
106945,high
76602,medium
153668,medium
32802,medium
43229,medium
5562,medium
74378,high
132962,medium
70796,medium
98833,medium
11285,high
147540,medium
109563,low
45233,medium
68190,high
150724,medium
67769,low
896,medium
59365,medium
37135,medium
158136,medium
138653,medium
60489,medium
39099,high
86717,low
31798,medium
52657,medium
96987,high
96467,medium
126776,high
111449,low
106575,medium
88569,medium
10118,medium
33757,medium
77982,medium
128542,medium
17668,medium
59897,medium
79555,medium
146339,medium
69177,medium
11462,medium
125457,low
